City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,tuban,ID,75.33,overcast clouds,-6.8976,112.0649,Hotel Mustika
357,morgan city,US,82.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
358,santa juliana,PH,72.86,overcast clouds,15.3283,120.4286,Majestic Mount Pinatubo Tour-BOGNOT LODGE SANTA JULIANA CAPAS
359,creel,MX,71.06,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
360,matay,EG,74.05,scattered clouds,28.419,30.7792,Nag Aespen
361,nueve de julio,AR,67.78,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
363,jiexiu,CN,52.88,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
364,paramonga,PE,72.95,few clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
366,black river,JM,84.4,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
367,hit,IQ,76.46,broken clouds,33.6416,42.8251,بيت ابو رباح
368,antalaha,MG,76.01,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
371,ancud,CL,50.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
373,sinnamary,GF,79.23,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
376,cascais,PT,57.47,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
377,inongo,CD,73.98,light rain,-1.95,18.2667,Hotel Du Lac
378,guerrero negro,MX,65.97,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
379,fortuna,US,56.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
380,lingao,CN,64.08,clear sky,19.9103,109.6859,Lingao Ditai Inn
382,inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
384,sao jose dos pinhais,BR,72.27,broken clouds,-25.5347,-49.2064,Mercure Curitiba Aeroporto Hotel
385,porto novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
386,pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
387,marrakesh,MA,62.67,broken clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
